aluno;disc;turma;av;dt;nota;falta
108;D1;T4;AV3;20/04/2024;9,5;0
108;D6;T4;AV1;12/02/2024;8,0;1
108;D6;T4;AV2;18/03/2024;7,5;0
108;D6;T4;AV3;22/04/2024;9,0;0
108;D8;T4;AV1;18/02/2024;9,0;0
108;D8;T4;AV2;24/03/2024;8,5;0
108;D8;T4;AV3;29/04/2024;9,5;0
109;D1;T3;AV1;11/02/2024;8,5;0
109;D1;T3;AV2;16/03/2024;9,0;0
109;D1;T3;AV3;21/04/2024;8,0;1
109;D2;T3;AV1;13/02/2024;7,5;0
109;D2;T3;AV2;19/03/2024;8,0;0
109;D2;T3;AV3;23/04/2024;9,0;0
109;D3;T3;AV1;17/02/2024;9,5;0
109;D3;T3;AV2;23/03/2024;9,0;0
109;D3;T3;AV3;28/04/2024;8,5;0
110;D1;T5;AV1;10/02/2024;7,5;1
110;D1;T5;AV2;15/03/2024;8,0;0
110;D1;T5;AV3;20/04/2024;6,5;2
110;D6;T5;AV1;12/02/2024;7,0;1
110;D6;T5;AV2;18/03/2024;6,5;0
110;D6;T5;AV3;22/04/2024;8,0;0
110;D7;T5;AV1;14/02/2024;8,0;0
110;D7;T5;AV2;20/03/2024;7,5;0
110;D7;T5;AV3;25/04/2024;8,5;0
111;D1;T1;AV1;10/02/2024;9,0;0
111;D1;T1;AV2;15/03/2024;8,5;0
111;D1;T1;AV3;20/04/2024;9,5;0
111;D2;T1;AV1;12/02/2024;8,0;0
111;D2;T1;AV2;18/03/2024;9,0;0
111;D2;T1;AV3;22/04/2024;8,5;0
111;D8;T1;AV1;20/02/2024;9,5;0
111;D8;T1;AV2;26/03/2024;9,0;0
111;D8;T1;AV3;30/04/2024;9,0;0
112;D1;T5;AV1;10/02/2024;6,0;2
112;D1;T5;AV2;15/03/2024;5,5;1
112;D1;T5;AV3;20/04/2024;7,0;0
112;D6;T5;AV1;12/02/2024;6,5;1
112;D6;T5;AV2;18/03/2024;7,0;0
112;D6;T5;AV3;22/04/2024;5,5;2
112;D9;T5;AV1;22/02/2024;8,0;0
112;D9;T5;AV2;28/03/2024;7,5;0
112;D9;T5;AV3;02/05/2024;8,0;0
113;D1;T2;AV1;10/02/2024;4,5;3
113;D1;T2;AV2;15/03/2024;5,0;2
113;D1;T2;AV3;20/04/2024;3,5;4
113;D2;T2;AV1;12/02/2024;5,0;2
113;D2;T2;AV2;18/03/2024;4,5;1
113;D2;T2;AV3;22/04/2024;6,0;0
113;D3;T2;AV1;16/02/2024;6,5;1
113;D3;T2;AV2;22/03/2024;5,0;2
113;D3;T2;AV3;27/04/2024;4,0;3
114;D1;T4;AV1;10/02/2024;8,5;0
114;D1;T4;AV2;15/03/2024;9,0;0
114;D1;T4;AV3;20/04/2024;8,5;0
114;D6;T4;AV1;12/02/2024;9,0;0
114;D6;T4;AV2;18/03/2024;8,5;0
114;D6;T4;AV3;22/04/2024;9,5;0
114;D7;T4;AV1;14/02/2024;8,0;1
114;D7;T4;AV2;20/03/2024;7,5;0
114;D7;T4;AV3;25/04/2024;9,0;0
115;D1;T3;AV1;11/02/2024;7,0;1
115;D1;T3;AV2;16/03/2024;6,5;0
115;D1;T3;AV3;21/04/2024;8,0;0
115;D2;T3;AV1;13/02/2024;7,5;0
115;D2;T3;AV2;19/03/2024;8,0;0
115;D2;T3;AV3;23/04/2024;6,5;1
115;D5;T3;AV1;19/02/2024;8,5;0
115;D5;T3;AV2;25/03/2024;7,5;0
115;D5;T3;AV3;30/04/2024;9,0;0
116;D1;T2;AV1;10/02/2024;8,0;0
116;D1;T2;AV2;15/03/2024;7,5;0
116;D1;T2;AV3;20/04/2024;9,0;0
116;D2;T2;AV1;12/02/2024;8,5;0
116;D2;T2;AV2;18/03/2024;9,0;0
116;D2;T2;AV3;22/04/2024;8,5;0
116;D4;T2;AV1;16/02/2024;9,0;0
116;D4;T2;AV2;22/03/2024;8,5;0
116;D4;T2;AV3;27/04/2024;9,5;0
117;D1;T5;AV1;10/02/2024;7,5;1
117;D1;T5;AV2;15/03/2024;8,0;0
117;D1;T5;AV3;20/04/2024;6,5;1
117;D6;T5;AV1;12/02/2024;8,0;0
117;D6;T5;AV2;18/03/2024;7,5;0
117;D6;T5;AV3;22/04/2024;9,0;0
117;D9;T5;AV1;22/02/2024;9,5;0
117;D9;T5;AV2;28/03/2024;8,5;0
117;D9;T5;AV3;02/05/2024;9,0;0
118;D1;T1;AV1;10/02/2024;9,0;0
118;D1;T1;AV2;15/03/2024;8,5;0
118;D1;T1;AV3;20/04/2024;9,5;0
118;D2;T1;AV1;12/02/2024;8,5;0
118;D2;T1;AV2;18/03/2024;9,0;0
118;D2;T1;AV3;22/04/2024;8,5;0
118;D3;T1;AV1;14/02/2024;9,5;0
118;D3;T1;AV2;20/03/2024;9,0;0
118;D3;T1;AV3;25/04/2024;8,5;0
119;D1;T4;AV1;10/02/2024;7,0;1
119;D1;T4;AV2;15/03/2024;6,5;0
119;D1;T4;AV3;20/04/2024;8,0;0
119;D6;T4;AV1;12/02/2024;7,5;1
119;D6;T4;AV2;18/03/2024;8,0;0
119;D6;T4;AV3;22/04/2024;6,5;1
119;D8;T4;AV1;18/02/2024;8,0;0
119;D8;T4;AV2;24/03/2024;7,5;0
119;D8;T4;AV3;29/04/2024;8,5;0
120;D1;T3;AV1;11/02/2024;8,5;0
120;D1;T3;AV2;16/03/2024;9,0;0
120;D1;T3;AV3;21/04/2024;7,5;1
120;D2;T3;AV1;13/02/2024;9,0;0
120;D2;T3;AV2;19/03/2024;8,5;0
120;D2;T3;AV3;23/04/2024;9,5;0
120;D5;T3;AV1;19/02/2024;8,0;0
120;D5;T3;AV2;25/03/2024;9,0;0
120;D5;T3;AV3;30/04/2024;8,5;0
